 Package                              Name                                                                       Type    Status         Version        
 Node export                          Node export dependency (experimental) (node_export_dependency)             Module  Not installed  7.x-3.0        
 Node export                          Node export features (node_export_features)                                Module  Not installed  7.x-3.0        
 Node export                          Node export feeds (node_export_feeds)                                      Module  Not installed  7.x-3.0        
 Node export                          Node export relation (deprecated) (node_export_relation)                   Module  Not installed  7.x-3.0        
 Node Gallery                         Node Gallery (node_gallery)                                                Module  Enabled        7.x-1.1        
 Node Gallery                         Node Gallery API (node_gallery_api)                                        Module  Enabled        7.x-1.1        
 OAuth                                OAuth (oauth_common)                                                       Module  Enabled        7.x-3.2        
 OAuth                                OAuth Provider UI (oauth_common_providerui)                                Module  Enabled        7.x-3.2        
 Organic groups                       Profile2 group access (profile2_og_access)                                 Module  Not installed  7.x-1.3        
 Other                                Automatic Nodetitles (auto_nodetitle)                                      Module  Enabled        7.x-1.0        
 Other                                Backup and Migrate (backup_migrate)                                        Module  Enabled        7.x-2.8        
 Other                                CKeditor Styles (ckeditor_styles)                                          Module  Not installed  7.x-1.0-alpha1 
 Other                                Commerce Continue Shopping (commerce_continue_shopping)                    Module  Enabled                       
 Other                                Commerce GOP Checkout (commerce_gopcheckout)                               Module  Enabled                       
 Other                                Commerce Reports Geckoboard (commerce_reports_geckoboard)                  Module  Not installed  7.x-4.0-beta3  
 Other                                CSS Injector (css_injector)                                                Module  Enabled        7.x-1.10       
 Other                                Disable messages (disable_messages)                                        Module  Enabled        7.x-1.1        
 Other                                Echo (echo)                                                                Module  Disabled       7.x-1.9        
 Other                                Edit profile (edit_profile)                                                Module  Disabled       7.x-1.0-beta2  
 Other                                Entity API (entity)                                                        Module  Enabled        7.x-1.5        
 Other                                Entity tokens (entity_token)                                               Module  Enabled        7.x-1.5        
 Other                                Facebook OAuth (fboauth)                                                   Module  Not installed  7.x-2.0-rc1    
 Other                                Google Chart Tools for Drupal (google_charts)                              Module  Not installed  7.x-1.x-dev    
 Other                                Job Scheduler (job_scheduler)                                              Module  Enabled        7.x-2.0-alpha3 
 Other                                Job Scheduler Trigger (job_scheduler_trigger)                              Module  Not installed  7.x-2.0-alpha3 
 Other                                Libraries (libraries)                                                      Module  Enabled        7.x-2.2        
 Other                                Masquerade (masquerade)                                                    Module  Enabled        7.x-1.0-rc7    
 Other                                Module filter (module_filter)                                              Module  Enabled        7.x-1.8        
 Other                                Module Instructions (module_instructions)                                  Module  Enabled        7.x-1.0        
 Other                                Mollom (mollom)                                                            Module  Enabled        7.x-2.13       
 Other                                Multiple forms (multiform)                                                 Module  Enabled        7.x-1.1        
 Other                                Node clone (clone)                                                         Module  Enabled        7.x-1.0-rc2    
 Other                                Pathauto (pathauto)                                                        Module  Disabled       7.x-1.2        
 Other                                Paypal Donation Page (paypal_donate)                                       Module  Enabled        7.x-1.6        
 Other                                Plupload widget (plup)                                                     Module  Enabled        7.x-1.0-alpha1 
 Other                                Profile2 (profile2)                                                        Module  Enabled        7.x-1.3        
 Other                                Profile2 pages (profile2_page)                                             Module  Enabled        7.x-1.3        
 Other                                Secure Pages (securepages)                                                 Module  Disabled       7.x-1.0-beta2  
 Other                                Strongarm (strongarm)                                                      Module  Enabled        7.x-2.0        
 Other                                Token (token)                                                              Module  Enabled        7.x-1.5        
 Other                                Transliteration (transliteration)                                          Module  Enabled        7.x-3.2        
 Other                                Variable Email (variable_email)                                            Module  Enabled        7.x-1.0-alpha1 
 Other                                View Mode Page (view_mode_page)                                            Module  Enabled        7.x-2.4        
 Other                                Visualization (visualization)                                              Module  Enabled        7.x-1.0-beta2  
 Other                                WDS Trial Module (wdstrialmodule)                                          Module  Not installed                 
 Popup Forms                          Popup Forms (popup_forms)                                                  Module  Enabled        7.x-1.1+1-dev  
 Rules                                Rules (rules)                                                              Module  Enabled        7.x-2.9        
 Rules                                Rules Scheduler (rules_scheduler)                                          Module  Enabled        7.x-2.9        
 Rules                                Rules UI (rules_admin)                                                     Module  Enabled        7.x-2.9        
 Services                             BlogAPI (blogapi)                                                          Module  Disabled       7.x-2.0-rc1    
 Services                             MetaWeblog Provider for BlogAPI (blogapi_metaweblog)                       Module  Not installed  7.x-2.0-rc1    
 Services                             MovableType Provider for BlogAPI (blogapi_movabletype)                     Module  Not installed  7.x-2.0-rc1    
 Services                             Old Blogger Provider for BlogAPI (blogapi_blogger)                         Module  Not installed  7.x-2.0-rc1    
 Services                             Services (services)                                                        Module  Disabled       7.x-3.3        
 Services                             xCal and iCal formats (xcal_format)                                        Module  Not installed  7.x-3.3        
 Services - authentication            OAuth Authentication (services_oauth)                                      Module  Not installed  7.x-3.3        
 Services - resources                 UUID Services (uuid_services)                                              Module  Not installed  7.x-1.0-alpha6 
 Services - servers                   REST Server (rest_server)                                                  Module  Not installed  7.x-3.3        
 Services - servers                   XMLRPC Server (xmlrpc_server)                                              Module  Not installed  7.x-3.3        
 Spam control                         Honeypot (honeypot)                                                        Module  Enabled        7.x-1.17       
 Spam control                         reCAPTCHA (recaptcha)                                                      Module  Not installed  7.x-1.11       
 Spam control                         reCAPTCHA Mailhide (recaptcha_mailhide)                                    Module  Not installed  7.x-1.11       
 User interface                       CKEditor (ckeditor)                                                        Module  Enabled        7.x-1.17       
 User interface                       CKEditor Image (ckeditor_image)                                            Module  Enabled        7.x-1.2        
 User interface                       CKEditor Link (ckeditor_link)                                              Module  Enabled        7.x-2.4        
 User interface                       IMCE Wysiwyg API bridge (imce_wysiwyg)                                     Module  Disabled       7.x-1.0        
 User interface                       Wysiwyg (wysiwyg)                                                          Module  Disabled       7.x-2.2        
 User interface                       Wysiwyg Media Embed (wysiwyg_mediaembed)                                   Module  Disabled       7.x-1.0        
 UUID                                 Universally Unique ID (uuid)                                               Module  Enabled        7.x-1.0-alpha6 
 UUID                                 UUID Path (uuid_path)                                                      Module  Not installed  7.x-1.0-alpha6 
 Variable                             Variable (variable)                                                        Module  Enabled        7.x-2.5        
 Variable                             Variable admin (variable_admin)                                            Module  Enabled        7.x-2.5        
 Variable                             Variable realm (variable_realm)                                            Module  Enabled        7.x-2.5        
 Variable                             Variable store (variable_store)                                            Module  Enabled        7.x-2.5        
 Variable                             Variable views (variable_views)                                            Module  Enabled        7.x-2.5        
 Views                                Views (views)                                                              Module  Enabled        7.x-3.8        
 Views                                Views Calc (views_calc)                                                    Module  Enabled        7.x-1.1        
 Views                                Views Data Export (views_data_export)                                      Module  Enabled        7.x-3.0-beta9  
 Views                                Views Date Format SQL (views_date_format_sql)                              Module  Enabled        7.x-3.3        
 Views                                Views Distinct (views_distinct)                                            Module  Enabled        7.x-1.0        
 Views                                Views Slideshow (views_slideshow)                                          Module  Enabled        7.x-3.1        
 Views                                Views Slideshow: Cycle (views_slideshow_cycle)                             Module  Enabled        7.x-3.1        
 Views                                Views UI (views_ui)                                                        Module  Enabled        7.x-3.8        
 Voting                               Advanced Poll (advpoll)                                                    Module  Disabled       7.x-3.x-dev    
 Voting                               Advanced Poll Converter (advpoll_converter)                                Module  Disabled       7.x-3.x-dev    
 Voting                               Advanced Poll Field (advpoll_field)                                        Module  Enabled        7.x-3.x-dev    
 Voting                               Advanced Ranking Poll (advpoll_ranking)                                    Module  Disabled       7.x-3.x-dev    
 Voting                               Voting API (votingapi)                                                     Module  Enabled        7.x-2.12       
 WCGOP                                Popup Forms Demonstration (vtspopups)                                      Module  Enabled                       
 WCGOP                                Trial FB Integration (fbinterface)                                         Module  Enabled                       
 WCGOP                                Volunteer Time Slots (volunteertimeslots)                                  Module  Enabled                       
 Webform                              Webform (webform)                                                          Module  Enabled        7.x-3.21       
 Widgets                              Widgets (widgets)                                                          Module  Enabled        7.x-1.0-rc1    
 Widgets                              Widgets Service links (widgets_service_links)                              Module  Not installed  7.x-1.0-rc1    
 Other                                Marinelli (marinelli)                                                      Theme   Enabled        7.x-3.0-beta11 

